seed,sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,final_idle_infrastructure,cumulative_trades_executed
0,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,144,22,16,5,52
1,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,149,14,29,8,58
2,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,149,27,8,5,46
3,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,169,27,11,7,52
4,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,99,11,22,13,49
5,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,121,19,14,4,50
6,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,134,25,5,9,48
7,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,139,22,12,5,46
8,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,147,25,10,1,52
9,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,122,19,8,6,48
10,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,147,25,15,5,50
11,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,137,19,13,4,52
12,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,152,22,17,1,48
