baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
random_feasible,ALL,gini_score,600,learned_q,-0.007838538255914929,-0.007838538255914929,-0.01564761907926122,-0.0002028751283137522,-0.01706814052944408,0.0012086876026191108,0.49166666666666664,0.49166666666666664
random_feasible,ALL,final_welfare,600,learned_q,0.13633333333333317,0.13633333333333317,-0.24346666666666675,0.5140541666666657,-0.3360125000000002,0.6078333333333331,0.515,0.515
random_feasible,ALL,cumulative_capacity_cost,600,learned_q,-0.6783333333333333,-0.6783333333333333,-0.8216666666666667,-0.55,-0.838375,-0.5216250000000006,0.25333333333333335,0.25333333333333335
random_feasible,need_based,final_total_score,100,learned_q,2.48,2.48,-2.0,6.730249999999999,-2.0,6.730249999999999,0.51,0.51
random_feasible,need_based,final_mean_score,100,learned_q,0.4959999999999999,0.4959999999999999,-0.3860500000000002,1.3942999999999985,-0.3860500000000002,1.3942999999999985,0.51,0.51
random_feasible,need_based,final_min_score,100,learned_q,0.9,0.9,-0.67,2.3602499999999984,-0.67,2.3602499999999984,0.49,0.49
random_feasible,need_based,bottom_two_mean_score,100,learned_q,0.835,0.835,-0.38037499999999996,1.98,-0.38037499999999996,1.98,0.52,0.52
random_feasible,need_based,final_score_gap,100,learned_q,-0.96,-0.96,-3.2809999999999997,1.4302499999999985,-3.2809999999999997,1.4302499999999985,0.45,0.45
random_feasible,need_based,gini_score,100,learned_q,-0.01118194270734204,-0.01118194270734204,-0.027552804405083887,0.005652885960407764,-0.027552804405083887,0.005652885960407764,0.48,0.48
random_feasible,need_based,final_welfare,100,learned_q,0.5969999999999996,0.5969999999999996,-0.3425875000000003,1.515849999999997,-0.3425875000000003,1.515849999999997,0.54,0.54
random_feasible,need_based,cumulative_capacity_cost,100,learned_q,-0.84,-0.84,-1.21,-0.47,-1.21,-0.47,0.23,0.23
random_feasible,cooperative,final_total_score,100,learned_q,-1.25,-1.25,-6.100499999999999,3.61,-6.100499999999999,3.61,0.5,0.5
random_feasible,cooperative,final_mean_score,100,learned_q,-0.25000000000000017,-0.25000000000000017,-1.2040500000000003,0.7020999999999992,-1.2040500000000003,0.7020999999999992,0.5,0.5
random_feasible,cooperative,final_min_score,100,learned_q,0.09,0.09,-1.3302500000000002,1.3902499999999984,-1.3302500000000002,1.3902499999999984,0.46,0.46
random_feasible,cooperative,bottom_two_mean_score,100,learned_q,-0.11,-0.11,-1.2851249999999999,1.0804999999999974,-1.2851249999999999,1.0804999999999974,0.42,0.42
random_feasible,cooperative,final_score_gap,100,learned_q,-0.9,-0.9,-2.9605,1.2902499999999986,-2.9605,1.2902499999999986,0.46,0.46
random_feasible,cooperative,gini_score,100,learned_q,-0.0020064542443546897,-0.0020064542443546897,-0.02141162020867869,0.01654599249604825,-0.02141162020867869,0.01654599249604825,0.54,0.54
random_feasible,cooperative,final_welfare,100,learned_q,-0.16500000000000026,-0.16500000000000026,-1.1505500000000004,0.7991874999999992,-1.1505500000000004,0.7991874999999992,0.52,0.52
random_feasible,cooperative,cumulative_capacity_cost,100,learned_q,-1.19,-1.19,-1.53,-0.85,-1.53,-0.85,0.18,0.18
random_feasible,hoarding,final_total_score,100,learned_q,0.34,0.34,-4.97025,5.58,-4.97025,5.58,0.51,0.51
random_feasible,hoarding,final_mean_score,100,learned_q,0.06799999999999978,0.06799999999999978,-1.0301000000000002,1.1481999999999992,-1.0301000000000002,1.1481999999999992,0.51,0.51
random_feasible,hoarding,final_min_score,100,learned_q,0.25,0.25,-0.88,1.27,-0.88,1.27,0.46,0.46
random_feasible,hoarding,bottom_two_mean_score,100,learned_q,0.08,0.08,-0.950125,1.135,-0.950125,1.135,0.5,0.5
random_feasible,hoarding,final_score_gap,100,learned_q,-0.85,-0.85,-2.991,1.16,-2.991,1.16,0.45,0.45
random_feasible,hoarding,gini_score,100,learned_q,-0.008886606974474314,-0.008886606974474314,-0.02682286805964247,0.00989426306108491,-0.02682286805964247,0.00989426306108491,0.52,0.52
random_feasible,hoarding,final_welfare,100,learned_q,0.11349999999999971,0.11349999999999971,-0.9257625000000002,1.0965125000000002,-0.9257625000000002,1.0965125000000002,0.54,0.54
random_feasible,hoarding,cumulative_capacity_cost,100,learned_q,-0.26,-0.26,-0.53,0.01,-0.53,0.01,0.33,0.33
random_feasible,mixed,final_total_score,100,learned_q,1.12,1.12,-2.9907500000000002,5.330499999999997,-2.9907500000000002,5.330499999999997,0.46,0.46
random_feasible,mixed,final_mean_score,100,learned_q,0.2240000000000001,0.2240000000000001,-0.5960500000000001,1.082549999999997,-0.5960500000000001,1.082549999999997,0.46,0.46
random_feasible,mixed,final_min_score,100,learned_q,0.2,0.2,-0.80025,1.1602499999999984,-0.80025,1.1602499999999984,0.44,0.44
random_feasible,mixed,bottom_two_mean_score,100,learned_q,0.655,0.655,-0.305125,1.505,-0.305125,1.505,0.57,0.57
random_feasible,mixed,final_score_gap,100,learned_q,-0.09,-0.09,-2.1005000000000003,2.02,-2.1005000000000003,2.02,0.38,0.38
random_feasible,mixed,gini_score,100,learned_q,-0.008170691164744897,-0.008170691164744897,-0.025689951567634834,0.008210980783215551,-0.025689951567634834,0.008210980783215551,0.43,0.43
random_feasible,mixed,final_welfare,100,learned_q,0.2180000000000002,0.2180000000000002,-0.5900999999999997,0.9765000000000001,-0.5900999999999997,0.9765000000000001,0.53,0.53
random_feasible,mixed,cumulative_capacity_cost,100,learned_q,-0.86,-0.86,-1.22,-0.52,-1.22,-0.52,0.2,0.2
random_feasible,need_based_to_competitive,final_total_score,100,learned_q,1.27,1.27,-3.0,5.590999999999994,-3.0,5.590999999999994,0.52,0.52
random_feasible,need_based_to_competitive,final_mean_score,100,learned_q,0.25399999999999995,0.25399999999999995,-0.5781999999999998,1.070149999999999,-0.5781999999999998,1.070149999999999,0.52,0.52
random_feasible,need_based_to_competitive,final_min_score,100,learned_q,0.77,0.77,-0.46025,1.91,-0.46025,1.91,0.54,0.54
random_feasible,need_based_to_competitive,bottom_two_mean_score,100,learned_q,0.77,0.77,-0.24512499999999998,1.7601249999999993,-0.24512499999999998,1.7601249999999993,0.6,0.6
random_feasible,need_based_to_competitive,final_score_gap,100,learned_q,-1.72,-1.72,-3.95075,0.5002499999999986,-3.95075,0.5002499999999986,0.41,0.41
random_feasible,need_based_to_competitive,gini_score,100,learned_q,-0.01678323456034321,-0.01678323456034321,-0.034460589545728545,7.478254767167973e-05,-0.034460589545728545,7.478254767167973e-05,0.45,0.45
random_feasible,need_based_to_competitive,final_welfare,100,learned_q,0.3829999999999998,0.3829999999999998,-0.4405250000000001,1.2315999999999994,-0.4405250000000001,1.2315999999999994,0.53,0.53
random_feasible,need_based_to_competitive,cumulative_capacity_cost,100,learned_q,-0.6,-0.6,-0.90025,-0.3,-0.90025,-0.3,0.26,0.26
random_feasible,cooperative_to_hoarding,final_total_score,100,learned_q,-1.34,-1.34,-6.360250000000001,3.360749999999996,-6.360250000000001,3.360749999999996,0.5,0.5
random_feasible,cooperative_to_hoarding,final_mean_score,100,learned_q,-0.2679999999999999,-0.2679999999999999,-1.2400999999999998,0.6721499999999994,-1.2400999999999998,0.6721499999999994,0.5,0.5
